"","continent","biome","repTree","name","id","institution","countryExpertise","policyPriority","policy"
"106","Africa","Tropical & Subtropical Moist Broadleaf Forests","Cordia africana ","Agena Tanga ",27,"Ethiopian Environment and Forest Research Institute (EEFRI) ","Ethiopia; tropics ","Fifth","expand carbon crediting/verification"
"107","Africa","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Parkia biglobosa","Ibrahim Abdullahi; PhD",28,"University of Abuja","Nigeria; United Kingdom","Fifth","expand ag extension services"
"108","Africa","Tropical & Subtropical Dry Broadleaf Forests","Maesopsis eminii","Peter O. Alele",29,"Conservation International","Uganda; Kenya; Rwanda; Tanzania","Fifth","develop/reform policy"
"109","Africa","Flooded Grasslands & Savannas","Leucaena leucocephala","ZUBAIRU YAKUBU GADA",31,"USMANU DANFODIYO UNIVERSITY SOKOTO; NIGERIA","NIGERIA","Fifth","provision inputs"
"110","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Abayneh Derero",9,"Ethiopian Environment and Forest Research Institute","Ethiopia","Fifth","expand ag extension services"
"111","Europe","Temperate Broadleaf & Mixed Forests","Populus","Paul Burgess",12,"Cranfield University","UK","Fifth","provision inputs"
"112","Europe","Boreal Forests & Taiga","Alnus glutinosa","Michael den Herder",17,"European Forest Institute","Finland","Fifth","expand carbon crediting/verification"
"113","Europe","Mediterranean Forests; Woodland; & Scrub","Quercus ilex","Manuel Bertomeu",18,"University of Extremadura","Spain; Philippines","Fifth","develop shade-grown variatals"
"114","North/Central America (includes Caribbean)","Temperate Broadleaf & Mixed Forests","Robinia pseudoacacia","Harry Greene",19,"Propagate Ventures","United States; Canada; Argentina; Dominican Republic","Fifth","expand ag extension services"
"115","South America","Tropical & Subtropical Grasslands; Savannas; and Shrublands","Eucalyptus sp.","Wander Luis Barbosa Borges",20,"Agronomic Institute - IAC","Brazil","Fifth","develop/reform policy"
"116","Europe","Mediterranean Forests; Woodland; & Scrub","Olive tree (Olea europea L.) ","Pierluigi Paris",24,"National Research Council (CNR) - Research Institute on Terrestrial Ecosystems (IRET) ","Italy","Fifth","develop shade-grown variatals"
"117","Europe","Mediterranean Forests; Woodland; & Scrub","Mediterranean deciduous oaks (Quercus pubescens Willd; Q. cerris L.) ","Pierluigi Paris",25,"National Research Council (CNR) - Research Inst. on Terrestrial Ecosystems (IRET)","Italy","Fifth","develop shade-grown variatals"
"118","Africa","Tropical & Subtropical Dry Broadleaf Forests","Faidherbia albida","Dennis Garrity",4,"ICRAF and the Global EverGreening Alliance","Many countries in Africa and Asia.","Last","expand carbon crediting/verification"
"119","Africa","Tropical & Subtropical Moist Broadleaf Forests","Alnus Acuminata","Alain Ndoli",5,"International Union for Conservation of Nature (IUCN)","Rwanda; Ethiopia; Madagascar; Malawi; Comoros; and Tanzania","Last","develop/reform policy"
