ISO3,COUNTRY,BIOME_NAME,BIOME_NUM,sum
CHL,Chile,Deserts & Xeric Shrublands,13.0,2.0503229902607277E7
COL,Colombia,Tropical & Subtropical Moist Broadleaf Forests,1.0,7.50746270841772E8
COL,Colombia,Tropical & Subtropical Dry Broadleaf Forests,2.0,3.649444197706919E9
COL,Colombia,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,2.8454423358901463E9
COL,Colombia,Montane Grasslands & Shrublands,10.0,2426354.1564493817
COL,Colombia,Deserts & Xeric Shrublands,13.0,1.6849368086469106E7
ECU,Ecuador,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.1235668418317919E9
ECU,Ecuador,Tropical & Subtropical Dry Broadleaf Forests,2.0,6.314904750881478E8
ECU,Ecuador,Montane Grasslands & Shrublands,10.0,1.6378647217137955E7
ECU,Ecuador,Deserts & Xeric Shrublands,13.0,0.0
GUY,Guyana,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.1285663744079607E9
GUY,Guyana,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,1.4364673838905487E7
PER,Peru,Tropical & Subtropical Moist Broadleaf Forests,1.0,1.66432984620642E9
PER,Peru,Montane Grasslands & Shrublands,10.0,1.4982286820302749E9
PER,Peru,Deserts & Xeric Shrublands,13.0,2.106360158892884E9
PER,Peru,Tropical & Subtropical Dry Broadleaf Forests,2.0,1.4295174783170505E9
PRY,Paraguay,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.4079354650347954E10
PRY,Paraguay,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,3.701137300828984E9
SUR,Suriname,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.3413018363366324E8
SUR,Suriname,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,0.0
URY,Uruguay,Tropical & Subtropical Moist Broadleaf Forests,1.0,0.0
URY,Uruguay,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7.0,2.666499454602188E10
URY,Uruguay,"Temperate Grasslands, Savannas & Shrublands",8.0,1520108.9602443324
VEN,Venezuela,Tropical & Subtropical Moist Broadleaf Forests,1.0,2.8129532486739117E8
