"","ISO3","NAME","Crop_TotalC_sum_MgC","Graze_TotalC_sum_MgC","Crop_FluxDensity_mean_MgC/ha_CORRECT","Graze_FluxDensity_mean_MgC/ha_CORRECT","Crop_FluxDensity_mean_MgC/ha_WRONG","Graze_FluxDensity_mean_MgC/ha_WRONG","CropArea_sum_ha","GrazeArea_sum_ha","Crop_ForestCover_mean_percent_allDelta","Crop_ForestCover_mean_percent_positiveDelta","Graze_ForestCover_mean_percent_allDelta","Graze_ForestCover_mean_percent_positiveDelta","Crop_Delta_mean_percent","Graze_Delta_mean_percent","Crop_ExpertRecs_mean_percent","Graze_ExpertRecs_mean_percent"
"112","KEN","Kenya",88954098.866608,327553950.037718,0.537775188830334,0.554535913693345,0.408896669992804,0.416968546449309,5513710.35792137,19689374.0002115,8.66315173039528,8.28650760054791,1.91176996915203,1.88515053683345,15.2545446259843,25.0485604827466,24.6884420604451,27.449646203524
"113","KGZ","Kyrgyzstan",10138791.5535948,61686281.3550479,0.243212899913314,0.271944034635427,0.137007388901601,0.153708974992015,1389563.29443717,7561149.04766411,2.8510246216298,2.68228082108514,1.74703505510352,1.71018887814491,20.5706773229584,18.4824289121195,26.7750001088792,19.971757046971
"114","KHM","Cambodia",190522985.743592,375045.548811891,1.19601475127389,0.836987504354883,0.914345275420606,0.632852538453008,5309939.68484819,14936.3260845398,7.72129584405858,7.15471862110119,14.0272071949224,14.4587929497623,26.5460017177729,9.53030528111692,34.7538205479212,26.0650279656301
"115","KIR","Kiribati",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"116","KNA","Saint Kitts and Nevis",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0503997161106,26.6954701498767
"117","KOR","South Korea",20323782.2059724,0,0.612749289883367,NA,0.40284822873969,NA,1105606.18845384,NA,9.33921289327823,9.33715277168046,NA,NA,26.1986643268749,NA,35.53846154,35
"118","KWT","Kuwait",7465.3094996602,57335.9557622039,0.0251716175618639,0.0330588642274959,0.0165044211604935,0.0217632854634338,9885.88235845765,57811.9838677702,1.00350553505535,0.085817068745168,0,0,2.99649446494465,5,4,5
"119","LAO","Laos",46273435.1894447,65532.7620556996,1.23369750009489,NA,0.92325145546088,0.998087093070975,1250264.21754888,NA,6.94865735894785,6.21513689141093,10.4422197680377,10.7251092763477,27.1985081939532,20.8077802319623,24.7457232755719,29.837921780398
"120","LBN","Lebanon",354461.631137218,0,0.114116603008308,NA,0.0709089955114412,NA,103537.849822902,NA,2.8605980116468,1.94108348457139,NA,NA,7.01336537062508,NA,9.75,23
"121","LBR","Liberia",13022.3809434497,0,NA,NA,0.617048148543807,NA,NA,NA,9.12681816257793,7.95042373076047,NA,NA,13.0495762692395,NA,21.0064797982908,31.2433496807058
"122","LBY","Libya",1770699.40959295,11456603.6994731,0.0645871340854146,0.0343329237284729,0.0412276387948297,0.0222901066520676,913855.591967307,11123048.9137088,1.27898414794584,0.028445090938654,0.0440726860202815,0.034871723322333,8.47077905817896,6.09862235118835,4.23813862513493,5.74547743520499
"123","LCA","Saint Lucia",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4004677976443,27.1366092675012
"124","LIE","Liechtenstein",6754.92528381849,0,0.414562079201595,NA,0.228965452236317,NA,543.137415175375,NA,17.7595315666915,17.6923764660143,NA,NA,17.1161432964222,NA,24.3153767241639,28.0557503380754
"125","LKA","Sri Lanka",3102213.20337142,6635.02464760086,1.15356049127821,NA,0.885631836465882,0.130208933550162,89641.6855127092,NA,9.92363378171203,10.9005075986902,7.32337983144435,4.832,28.078017472313,0.541412380122058,35.696831430726,24.5744851002298
"126","LSO","Lesotho",2474708.57362882,18930598.3666266,0.335387368720761,0.407209253339592,0.22030993535574,0.266806421050947,245955.254970582,1549620.84083089,2.32538171673018,2.22051551705541,4.27844706730645,4.42770688842006,24.6325350358324,20.678658914794,25.9823279132899,24.7659130653023
"127","LTU","Lithuania",43142953.9056719,0,0.733878461568462,NA,0.340050355532433,NA,1959586.68748618,NA,8.46596223240239,8.46576774015243,NA,NA,27.0725301633789,NA,35.53846154,35
"128","LUX","Luxembourg",1108845.68423292,0,0.717448322041821,NA,0.378244697894681,NA,51518.0280895678,NA,9.82027504531426,9.82005151698293,NA,NA,25.7181864946299,NA,35.53846154,35
"129","LVA","Latvia",22472766.1990259,0,0.748575114173467,NA,0.335568334207191,NA,1000690.76897019,NA,11.1616993067238,11.1612643246025,NA,NA,24.3769583707901,NA,35.53846154,35
"130","MAC","Macao",8.11720407984853,0,0.296643385954813,NA,0.226810402219946,NA,0.912116979980469,NA,12.2553191489362,NA,NA,NA,NA,NA,21,31.25
"131","MAF","Saint-Martin",0.295582665670395,0,0.057899817796667,NA,0.0138016970952352,NA,0.170169024658203,NA,6.28571428571429,2.5,NA,NA,1.5,NA,4,5
"132","MAR","Morocco",16992809.0581389,49595354.8979378,0.0898361298468448,0.139951686920128,0.05663932081782,0.0892923690081369,6305113.20523593,11812494.2469712,1.66444614259579,0.747767738920092,0.090906739246356,0.0792271595250862,8.4593884124359,20.4454309758703,9.06082691057399,19.1522264954285
"133","MCO","Monaco",0.210520218635917,0,0.107991637294609,NA,0.00453685856782473,NA,0.0649804077148437,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","MDA","Moldova",23459600.8142589,0,0.419347551248189,NA,0.228629360663778,NA,1864769.90620559,NA,6.20870508316422,6.20776738935531,NA,NA,27.1669515469225,NA,33.7881898159145,31.6647916647412
"135","MDG","Madagascar",37159615.5587741,306101712.934749,0.71603547870867,0.65489325686794,0.540632864362943,0.496561116974276,1729877.76275134,15580234.3727839,5.92840504818109,5.59879647090864,3.52666985815044,3.17831668981392,19.9923429885656,18.4341656581082,22.703100977281,23.5839967701948
"136","MDV","Maldives",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"137","MEX","Mexico",87677924.2561162,113438782.284517,0.318217393482432,0.0978472443187035,0.223746305543164,0.0672612455955296,9184279.47391638,38644856.7779893,5.99564460946404,5.09189294808008,2.26759123226446,1.72473781097989,18.87009201446,7.94883800312269,17.4036088859913,17.8688435025061
"138","MHL","Marshall Islands",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"139","MKD","Macedonia",3694953.83376004,411731.115585553,0.421157036394377,0.445456038798923,0.255679161844295,0.26812606642054,292444.6635071,30809.7080837051,3.8967657371322,3.81725544360581,2.61904998001761,1.75060513317333,28.424228568336,30.0346987466684,29.875937294176,32.3650893890916
"140","MLI","Mali",89447947.0173868,199501890.623573,NA,0.332725467657299,0.366861278665712,0.241171118732792,NA,19986636.633524,1.75818655855175,1.3892427013345,0.787327379013937,0.728732955869691,23.4492068679727,25.4139446979404,17.5505687217138,18.9939773878822
"141","MLT","Malta",9494.42457659139,0,0.151693342362575,NA,0.092780389590338,NA,2086.31977047,NA,1.41090384417191,0.773100794008529,NA,NA,8.34602065231079,NA,9.75,23
"142","MMR","Myanmar",204874908.956053,0,0.680550300156962,NA,0.507772693883831,NA,10034766.9089167,NA,6.16563737073082,5.5169919755235,NA,NA,18.9140258185551,NA,22.4275541950991,30.7517182047048
"143","MNE","Montenegro",58927.4619016372,68343.912757959,0.166154017438397,NA,0.0899542725210538,0.409213546232312,11821.8551699048,NA,5.32232877871178,4.83265289517037,7.20134477288888,4.53271320065378,6.67251823027297,27.7986552271111,27.7070396383936,31.3558484218228
"144","MNG","Mongolia",6775129.21833992,647814653.335922,0.410911082514859,0.257617603745626,0.204394736443899,0.131908676809357,549602.21376644,83821219.7609991,2.58786533629518,2.54675998461943,0.856588862892897,0.765500302291777,24.9363617832988,14.9262032771552,16.3357334475357,13.7299860332044
"145","MNP","Northern Mariana Islands",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,23.33333333
"146","MOZ","Mozambique",58776833.5140539,194937617.007773,0.534120299056354,0.371567161615346,0.387578395877657,0.271437807258143,3668139.53198038,17487876.3200623,9.16079029215778,8.88472832056724,9.17802274188193,8.12826973530274,15.651371138984,18.5744669998691,24.3802222149059,27.769935694366
"147","MRT","Mauritania",483436.258046129,73860165.0403974,NA,0.260089543874574,0.228964673196603,0.187622750981689,NA,9465991.84523104,1.16105280106866,0.257968382284737,0.218168355139272,0.218997036860683,24.0611694189325,26.586120268379,13.5609335331562,14.8737913085346
"148","MSR","Montserrat",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5927448498032,22.1287100093997
"149","MTQ","Martinique",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6867875889869,24.5783927184455
"150","MUS","Mauritius",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,31.25
"151","MWI","Malawi",42864135.851648,4562603.10455465,0.64401892275927,NA,0.469931310792783,0.238386920727814,2218575.38326144,NA,4.62071171723078,4.53234086656673,10.554725696636,9.53453896753014,20.6691890322512,16.1592814739078,25.3246166575389,26.6238992835872
